0	0.500000
1	0.525000
2	0.525000
3	0.487500
4	0.487500
5	0.487500
6	0.500000
7	0.500000
8	0.537500
9	0.537500
10	0.525000
11	0.575000
12	0.600000
13	0.537500
14	0.587500
15	0.612500
16	0.575000
17	0.625000
18	0.637500
19	0.625000
20	0.637500
21	0.662500
22	0.587500
23	0.625000
24	0.600000
25	0.675000
26	0.662500
27	0.637500
28	0.700000
29	0.662500
30	0.637500
31	0.625000
32	0.625000
33	0.700000
34	0.625000
35	0.687500
36	0.662500
37	0.737500
38	0.725000
39	0.612500
Best: 0.737500011920929
Aver: 0.6018750101327897
