epoch	train_loss	train_acc	test_loss	test_acc
0	0.615061	0.687500	0.873495	0.650000
1	0.779978	0.640625	0.772392	0.700000
2	0.696853	0.703125	0.718420	0.737500
3	0.523815	0.718750	0.691052	0.737500
4	0.635497	0.703125	0.675290	0.737500
5	0.737063	0.625000	0.659731	0.737500
6	0.698324	0.640625	0.647470	0.737500
7	0.563154	0.718750	0.638230	0.725000
8	0.681131	0.640625	0.631375	0.725000
9	0.447490	0.812500	0.623571	0.725000
10	0.708450	0.671875	0.619132	0.725000
11	0.772145	0.625000	0.615514	0.750000
12	0.538697	0.734375	0.610942	0.762500
13	0.565378	0.687500	0.606601	0.775000
14	0.562926	0.765625	0.602590	0.762500
15	0.523242	0.750000	0.599028	0.762500
16	0.563508	0.796875	0.596110	0.762500
17	0.529427	0.718750	0.594617	0.762500
18	0.677929	0.718750	0.592790	0.762500
19	0.572024	0.687500	0.591580	0.762500
20	0.509473	0.796875	0.589912	0.762500
21	0.457187	0.812500	0.589106	0.762500
22	0.492045	0.796875	0.587745	0.750000
23	0.609475	0.718750	0.587195	0.750000
24	0.606743	0.687500	0.585513	0.750000
25	0.634459	0.656250	0.584727	0.750000
26	0.627687	0.671875	0.583379	0.737500
27	0.470822	0.828125	0.582825	0.737500
28	0.492678	0.750000	0.581262	0.737500
29	0.627501	0.687500	0.580475	0.750000
30	0.535025	0.734375	0.579773	0.750000
31	0.483414	0.781250	0.578968	0.750000
32	0.474697	0.796875	0.578359	0.750000
33	0.443270	0.796875	0.577746	0.750000
34	0.507624	0.781250	0.577793	0.750000
35	0.555991	0.796875	0.577589	0.750000
36	0.542863	0.734375	0.577570	0.762500
37	0.421827	0.828125	0.576742	0.762500
38	0.450969	0.796875	0.576202	0.762500
39	0.523718	0.734375	0.576140	0.762500
40	0.504710	0.734375	0.576507	0.762500
41	0.566192	0.734375	0.576259	0.762500
42	0.447711	0.781250	0.576145	0.762500
43	0.445770	0.765625	0.575740	0.762500
44	0.525229	0.750000	0.575459	0.762500
45	0.601827	0.750000	0.575318	0.762500
46	0.582930	0.718750	0.575420	0.762500
47	0.539333	0.734375	0.575152	0.762500
48	0.609428	0.718750	0.575050	0.762500
49	0.437521	0.812500	0.574953	0.762500
50	0.521717	0.734375	0.575249	0.762500
51	0.575573	0.687500	0.574922	0.762500
52	0.556084	0.750000	0.574932	0.762500
53	0.529534	0.765625	0.574924	0.762500
54	0.486051	0.781250	0.574936	0.762500
55	0.567157	0.781250	0.575046	0.762500
56	0.549415	0.718750	0.575159	0.762500
57	0.438631	0.828125	0.575020	0.762500
58	0.559855	0.765625	0.575090	0.762500
59	0.517063	0.796875	0.575021	0.762500
Best:0.775000
Aver:0.751458
