epoch	train_loss	train_acc	test_loss	test_acc
0	0.752241	0.593750	0.760857	0.600000
1	0.637877	0.687500	0.773472	0.637500
2	0.667029	0.640625	0.774221	0.650000
3	0.481829	0.765625	0.770672	0.650000
4	0.557594	0.734375	0.766079	0.650000
5	0.528643	0.781250	0.762287	0.662500
6	0.542083	0.734375	0.756034	0.637500
7	0.619044	0.765625	0.751762	0.637500
8	0.580226	0.687500	0.738402	0.637500
9	0.658205	0.718750	0.725268	0.650000
10	0.479487	0.765625	0.720860	0.650000
11	0.535327	0.718750	0.712874	0.650000
12	0.588346	0.687500	0.706468	0.662500
13	0.715223	0.562500	0.699119	0.662500
14	0.663231	0.687500	0.697269	0.650000
15	0.666749	0.656250	0.692881	0.650000
16	0.457949	0.781250	0.686296	0.650000
17	0.543978	0.750000	0.683455	0.650000
18	0.531540	0.734375	0.681421	0.650000
19	0.515886	0.781250	0.676959	0.650000
20	0.640910	0.609375	0.671149	0.650000
21	0.629339	0.671875	0.668741	0.650000
22	0.528531	0.734375	0.666352	0.650000
23	0.517211	0.703125	0.663010	0.662500
24	0.715891	0.562500	0.658779	0.650000
25	0.508681	0.703125	0.656535	0.662500
26	0.582362	0.671875	0.658583	0.662500
27	0.403734	0.781250	0.653985	0.662500
28	0.557451	0.734375	0.652759	0.662500
29	0.507919	0.671875	0.650226	0.662500
30	0.498370	0.781250	0.648820	0.662500
31	0.422342	0.812500	0.646864	0.662500
32	0.536047	0.718750	0.645907	0.662500
33	0.431827	0.812500	0.645349	0.662500
34	0.553500	0.718750	0.645573	0.662500
35	0.442860	0.812500	0.643845	0.675000
36	0.399622	0.828125	0.642170	0.675000
37	0.551849	0.718750	0.642594	0.675000
38	0.591838	0.687500	0.638474	0.675000
39	0.561768	0.765625	0.638536	0.675000
40	0.462879	0.781250	0.640348	0.687500
41	0.474084	0.750000	0.639430	0.687500
42	0.528256	0.734375	0.638077	0.687500
43	0.435398	0.750000	0.639101	0.687500
44	0.433293	0.843750	0.637718	0.687500
45	0.575853	0.687500	0.635207	0.675000
46	0.479900	0.734375	0.634757	0.687500
47	0.572392	0.640625	0.634733	0.687500
48	0.524119	0.734375	0.634399	0.687500
49	0.503097	0.734375	0.634239	0.687500
50	0.527313	0.734375	0.633589	0.687500
51	0.545073	0.750000	0.633211	0.687500
52	0.456168	0.796875	0.633255	0.687500
53	0.514520	0.750000	0.634145	0.687500
54	0.523884	0.734375	0.634364	0.687500
55	0.464807	0.781250	0.634229	0.700000
56	0.520030	0.718750	0.634935	0.687500
57	0.567797	0.734375	0.632672	0.687500
58	0.487019	0.781250	0.631745	0.675000
59	0.563502	0.734375	0.632788	0.687500
Best:0.700000
Aver:0.665625
