epoch	train_loss	train_acc	test_loss	test_acc
0	0.584826	0.734375	0.646841	0.637500
1	0.604950	0.687500	0.645023	0.662500
2	0.695005	0.578125	0.647502	0.650000
3	0.574287	0.703125	0.647520	0.675000
4	0.470396	0.750000	0.652778	0.662500
5	0.575183	0.671875	0.656966	0.687500
6	0.529571	0.703125	0.659434	0.687500
7	0.476616	0.812500	0.661973	0.675000
8	0.546826	0.687500	0.663402	0.675000
9	0.441692	0.796875	0.663381	0.687500
10	0.523169	0.671875	0.669248	0.662500
11	0.646530	0.609375	0.668479	0.675000
12	0.548261	0.703125	0.669644	0.687500
13	0.581335	0.656250	0.673795	0.675000
14	0.703300	0.656250	0.673074	0.687500
15	0.551832	0.656250	0.674610	0.687500
16	0.573565	0.765625	0.676304	0.687500
17	0.585893	0.703125	0.673326	0.675000
18	0.501247	0.765625	0.673336	0.675000
19	0.511793	0.734375	0.673684	0.662500
20	0.570876	0.765625	0.672341	0.687500
21	0.460182	0.765625	0.673788	0.687500
22	0.576779	0.671875	0.674764	0.675000
23	0.443043	0.765625	0.675119	0.675000
24	0.500426	0.718750	0.673932	0.675000
25	0.473427	0.859375	0.673706	0.662500
26	0.564512	0.687500	0.674132	0.675000
27	0.524681	0.734375	0.674114	0.675000
28	0.453882	0.765625	0.676480	0.675000
29	0.491272	0.734375	0.678169	0.675000
30	0.512951	0.718750	0.678200	0.675000
31	0.509427	0.765625	0.679260	0.675000
32	0.635326	0.687500	0.679433	0.675000
33	0.563693	0.687500	0.679113	0.675000
34	0.497689	0.734375	0.678789	0.675000
35	0.460756	0.765625	0.679136	0.687500
36	0.515974	0.750000	0.679848	0.687500
37	0.450727	0.781250	0.679965	0.687500
38	0.451119	0.843750	0.678989	0.687500
39	0.432108	0.812500	0.678159	0.687500
40	0.437342	0.812500	0.677969	0.687500
41	0.439119	0.796875	0.679466	0.687500
42	0.625743	0.656250	0.679719	0.687500
43	0.646518	0.625000	0.680143	0.687500
44	0.624805	0.687500	0.679954	0.687500
45	0.465158	0.796875	0.680136	0.675000
46	0.537831	0.718750	0.680732	0.687500
47	0.450217	0.812500	0.680452	0.687500
48	0.492899	0.687500	0.680298	0.687500
49	0.537827	0.703125	0.679687	0.687500
50	0.434683	0.828125	0.679198	0.687500
51	0.573326	0.718750	0.679220	0.687500
52	0.491425	0.781250	0.679448	0.687500
53	0.547351	0.718750	0.679586	0.687500
54	0.528712	0.718750	0.679397	0.687500
55	0.551135	0.750000	0.679376	0.687500
56	0.506229	0.703125	0.679916	0.687500
57	0.549373	0.734375	0.679769	0.687500
58	0.503777	0.765625	0.679764	0.687500
59	0.518846	0.703125	0.679652	0.675000
Best:0.687500
Aver:0.679583
