epoch	train_loss	train_acc	test_loss	test_acc
0	0.690076	0.640625	0.634452	0.650000
1	0.501940	0.765625	0.518686	0.750000
2	0.527060	0.703125	0.474341	0.800000
3	0.496255	0.765625	0.452735	0.812500
4	0.695858	0.656250	0.442367	0.812500
5	0.537470	0.703125	0.435135	0.825000
6	0.462777	0.781250	0.429664	0.825000
7	0.582884	0.718750	0.425433	0.837500
8	0.456884	0.812500	0.420313	0.837500
9	0.499661	0.750000	0.414886	0.837500
10	0.592460	0.671875	0.411868	0.837500
11	0.514589	0.796875	0.407545	0.837500
12	0.459339	0.796875	0.404215	0.850000
13	0.493185	0.781250	0.401665	0.837500
14	0.484274	0.781250	0.399565	0.850000
15	0.363973	0.921875	0.398312	0.837500
16	0.508958	0.781250	0.396762	0.837500
17	0.563242	0.687500	0.393240	0.850000
18	0.486826	0.796875	0.390066	0.850000
19	0.516579	0.812500	0.388431	0.850000
20	0.458607	0.734375	0.386298	0.850000
21	0.615220	0.656250	0.384839	0.850000
22	0.449976	0.781250	0.383504	0.850000
23	0.463376	0.781250	0.382201	0.850000
24	0.487582	0.734375	0.381899	0.850000
25	0.499046	0.718750	0.379391	0.862500
26	0.422191	0.812500	0.377454	0.862500
27	0.384597	0.843750	0.376163	0.862500
28	0.407923	0.796875	0.375310	0.862500
29	0.444773	0.781250	0.374544	0.862500
30	0.441228	0.796875	0.373067	0.862500
31	0.479282	0.718750	0.372775	0.862500
32	0.372480	0.859375	0.372164	0.862500
33	0.498032	0.796875	0.371463	0.862500
34	0.426445	0.812500	0.370485	0.862500
35	0.503921	0.765625	0.369284	0.862500
36	0.469036	0.812500	0.369012	0.862500
37	0.471715	0.796875	0.368485	0.862500
38	0.421011	0.828125	0.367852	0.862500
39	0.384953	0.859375	0.367308	0.862500
40	0.346577	0.843750	0.367018	0.862500
41	0.411350	0.843750	0.366285	0.862500
42	0.398680	0.781250	0.365982	0.862500
43	0.392392	0.828125	0.365545	0.862500
44	0.419595	0.796875	0.365519	0.862500
45	0.436883	0.812500	0.365022	0.862500
46	0.395640	0.828125	0.364846	0.862500
47	0.408702	0.843750	0.364873	0.862500
48	0.408924	0.796875	0.364736	0.862500
49	0.333007	0.875000	0.364606	0.862500
50	0.365716	0.859375	0.364545	0.862500
51	0.435522	0.781250	0.364359	0.862500
52	0.475705	0.796875	0.363967	0.862500
53	0.439209	0.781250	0.364044	0.862500
54	0.392336	0.765625	0.363991	0.862500
55	0.362774	0.859375	0.363828	0.862500
56	0.385027	0.828125	0.364168	0.862500
57	0.425746	0.796875	0.364198	0.862500
58	0.317120	0.937500	0.364011	0.862500
59	0.455959	0.750000	0.364215	0.862500
Best:0.862500
Aver:0.847708
