0	0.437500
1	0.487500
2	0.525000
3	0.500000
4	0.450000
5	0.437500
6	0.475000
7	0.475000
8	0.500000
9	0.475000
10	0.475000
11	0.475000
12	0.450000
13	0.462500
14	0.500000
15	0.512500
16	0.487500
17	0.487500
18	0.487500
19	0.500000
20	0.487500
21	0.562500
22	0.537500
23	0.562500
24	0.625000
25	0.550000
26	0.587500
27	0.587500
28	0.537500
29	0.587500
30	0.575000
31	0.612500
32	0.575000
33	0.550000
34	0.575000
35	0.562500
36	0.575000
37	0.600000
38	0.600000
39	0.600000
Best: 0.625
Aver: 0.5262500077486039
