epoch	train_loss	train_acc	test_loss	test_acc
0	0.617911	0.625000	1.112041	0.512500
1	0.540393	0.671875	0.769510	0.625000
2	0.514027	0.734375	0.596412	0.700000
3	0.489522	0.781250	0.548097	0.725000
4	0.485782	0.750000	0.540064	0.712500
5	0.502578	0.796875	0.544775	0.725000
6	0.340476	0.890625	0.550503	0.725000
7	0.447520	0.765625	0.555946	0.712500
8	0.403180	0.796875	0.559454	0.737500
9	0.458179	0.796875	0.563076	0.725000
10	0.483946	0.796875	0.567063	0.725000
11	0.395909	0.859375	0.571653	0.725000
12	0.489437	0.796875	0.575994	0.737500
13	0.534205	0.812500	0.580182	0.737500
14	0.468535	0.812500	0.583278	0.725000
15	0.456265	0.781250	0.588381	0.712500
16	0.531066	0.671875	0.590493	0.712500
17	0.335411	0.875000	0.593202	0.712500
18	0.391597	0.812500	0.591607	0.712500
19	0.456570	0.796875	0.592605	0.700000
20	0.312003	0.875000	0.597372	0.700000
21	0.311618	0.843750	0.601295	0.700000
22	0.464152	0.765625	0.598841	0.725000
23	0.447073	0.812500	0.602832	0.712500
24	0.392875	0.843750	0.603446	0.712500
25	0.399807	0.812500	0.605375	0.712500
26	0.302441	0.906250	0.603230	0.712500
27	0.423423	0.781250	0.607354	0.712500
28	0.478576	0.765625	0.609548	0.712500
29	0.346174	0.859375	0.610708	0.712500
30	0.440807	0.796875	0.611258	0.712500
31	0.459598	0.812500	0.609302	0.712500
32	0.333738	0.875000	0.606039	0.712500
33	0.323865	0.812500	0.605568	0.712500
34	0.319451	0.890625	0.604828	0.712500
35	0.441038	0.859375	0.607942	0.712500
36	0.369660	0.843750	0.606917	0.712500
37	0.434144	0.843750	0.605705	0.725000
38	0.333551	0.906250	0.603350	0.725000
39	0.383815	0.843750	0.607957	0.712500
40	0.339888	0.875000	0.608272	0.712500
41	0.478365	0.812500	0.605720	0.725000
42	0.282567	0.937500	0.606361	0.725000
43	0.305711	0.875000	0.609204	0.712500
44	0.376016	0.859375	0.607209	0.725000
45	0.472825	0.843750	0.610325	0.712500
46	0.360970	0.875000	0.608911	0.712500
47	0.300565	0.906250	0.607707	0.725000
48	0.319235	0.875000	0.607647	0.725000
49	0.412373	0.750000	0.606201	0.725000
50	0.365861	0.859375	0.606794	0.725000
51	0.368811	0.859375	0.606420	0.725000
52	0.249330	0.953125	0.606084	0.725000
53	0.415902	0.828125	0.606246	0.725000
54	0.351661	0.843750	0.605878	0.725000
55	0.399851	0.796875	0.607162	0.725000
56	0.453399	0.796875	0.608433	0.712500
57	0.303834	0.890625	0.608601	0.725000
58	0.439125	0.812500	0.609692	0.712500
59	0.300799	0.875000	0.609407	0.712500
Best:0.737500
Aver:0.712917
