epoch	train_loss	train_acc	test_loss	test_acc
0	0.973857	0.531250	0.662538	0.650000
1	0.865436	0.453125	0.640676	0.637500
2	0.766793	0.578125	0.633543	0.600000
3	0.663837	0.593750	0.618838	0.625000
4	0.676914	0.562500	0.600662	0.637500
5	0.809229	0.578125	0.582567	0.675000
6	0.653091	0.609375	0.564530	0.700000
7	0.809364	0.515625	0.549643	0.700000
8	0.633778	0.625000	0.535722	0.712500
9	0.684926	0.609375	0.522645	0.725000
10	0.610602	0.640625	0.509890	0.762500
11	0.734057	0.562500	0.498010	0.775000
12	0.577390	0.687500	0.487666	0.787500
13	0.665253	0.578125	0.478093	0.812500
14	0.678452	0.625000	0.470171	0.812500
15	0.508840	0.718750	0.461548	0.812500
16	0.456006	0.828125	0.454404	0.812500
17	0.469281	0.781250	0.447554	0.825000
18	0.508576	0.750000	0.441875	0.850000
19	0.483871	0.765625	0.435433	0.850000
20	0.462305	0.812500	0.430263	0.850000
21	0.512105	0.828125	0.425510	0.850000
22	0.644525	0.703125	0.421027	0.850000
23	0.503705	0.765625	0.416866	0.850000
24	0.493224	0.828125	0.413154	0.850000
25	0.496283	0.796875	0.409882	0.850000
26	0.464714	0.812500	0.406903	0.850000
27	0.393635	0.828125	0.403972	0.850000
28	0.489802	0.781250	0.401509	0.850000
29	0.429727	0.843750	0.399339	0.850000
30	0.445043	0.750000	0.397197	0.837500
31	0.488177	0.812500	0.395266	0.837500
32	0.484603	0.734375	0.393087	0.837500
33	0.431483	0.859375	0.391799	0.837500
34	0.510743	0.765625	0.391042	0.837500
35	0.480289	0.781250	0.389711	0.837500
36	0.459572	0.796875	0.388311	0.837500
37	0.455626	0.843750	0.387247	0.837500
38	0.450295	0.796875	0.386327	0.837500
39	0.460715	0.718750	0.385259	0.837500
40	0.443510	0.781250	0.385073	0.837500
41	0.516479	0.765625	0.384332	0.837500
42	0.432364	0.859375	0.383322	0.837500
43	0.435159	0.812500	0.382864	0.837500
44	0.436441	0.796875	0.382704	0.837500
45	0.405204	0.781250	0.382563	0.837500
46	0.358869	0.828125	0.382426	0.837500
47	0.390422	0.906250	0.381729	0.837500
48	0.376105	0.828125	0.381450	0.837500
49	0.462158	0.875000	0.380980	0.837500
50	0.426544	0.828125	0.380642	0.837500
51	0.431934	0.796875	0.380593	0.837500
52	0.567271	0.750000	0.380099	0.837500
53	0.346837	0.875000	0.380158	0.837500
54	0.438928	0.812500	0.380406	0.837500
55	0.478322	0.796875	0.380361	0.837500
56	0.466116	0.765625	0.380260	0.837500
57	0.452203	0.781250	0.379891	0.837500
58	0.429964	0.750000	0.380046	0.837500
59	0.461236	0.781250	0.380381	0.837500
Best:0.850000
Aver:0.806458
