epoch	train_loss	train_acc	test_loss	test_acc
0	0.780639	0.625000	0.926428	0.562500
1	0.844079	0.500000	0.837502	0.575000
2	0.944684	0.562500	0.775977	0.587500
3	0.665271	0.578125	0.736054	0.600000
4	0.710072	0.578125	0.714188	0.600000
5	0.700162	0.609375	0.699620	0.600000
6	0.912388	0.578125	0.696149	0.600000
7	0.686978	0.625000	0.686326	0.600000
8	0.809507	0.468750	0.676965	0.612500
9	0.621304	0.593750	0.663319	0.625000
10	0.626642	0.656250	0.655669	0.625000
11	0.678535	0.593750	0.647570	0.612500
12	0.736994	0.531250	0.640059	0.612500
13	0.624947	0.656250	0.639309	0.612500
14	0.613281	0.625000	0.638302	0.600000
15	0.613585	0.687500	0.637740	0.612500
16	0.601526	0.640625	0.633667	0.612500
17	0.649880	0.656250	0.634516	0.625000
18	1.009031	0.453125	0.635477	0.625000
19	0.552241	0.734375	0.626455	0.625000
20	0.649691	0.546875	0.625659	0.625000
21	0.690885	0.593750	0.625018	0.625000
22	0.530849	0.781250	0.620998	0.637500
23	0.758020	0.531250	0.621786	0.625000
24	0.530352	0.765625	0.617078	0.637500
25	0.667298	0.625000	0.618870	0.625000
26	0.609111	0.671875	0.618850	0.625000
27	0.730423	0.531250	0.617407	0.625000
28	0.728572	0.593750	0.617032	0.625000
29	0.623772	0.609375	0.612396	0.662500
30	0.560675	0.734375	0.611359	0.687500
31	0.590604	0.687500	0.610354	0.687500
32	0.630385	0.671875	0.609107	0.687500
33	0.582816	0.703125	0.608335	0.687500
34	0.532886	0.718750	0.608129	0.687500
35	0.643690	0.609375	0.607556	0.675000
36	0.737415	0.593750	0.609934	0.675000
37	0.561291	0.703125	0.609178	0.675000
38	0.639060	0.625000	0.608698	0.675000
39	0.672348	0.640625	0.611165	0.662500
40	0.505467	0.750000	0.609280	0.675000
41	0.693330	0.593750	0.609618	0.662500
42	0.641682	0.625000	0.607976	0.675000
43	0.532952	0.750000	0.606141	0.662500
44	0.524531	0.750000	0.606908	0.662500
45	0.669958	0.546875	0.606464	0.662500
46	0.769996	0.515625	0.607861	0.675000
47	0.612351	0.609375	0.607111	0.662500
48	0.614760	0.671875	0.607073	0.675000
49	0.627817	0.578125	0.606780	0.662500
50	0.703517	0.593750	0.609119	0.662500
51	0.524427	0.781250	0.609304	0.662500
52	0.601971	0.687500	0.609023	0.662500
53	0.607146	0.656250	0.607716	0.675000
54	0.621152	0.640625	0.607315	0.675000
55	0.657584	0.656250	0.608759	0.675000
56	0.617875	0.671875	0.609298	0.662500
57	0.689929	0.578125	0.610002	0.662500
58	0.603803	0.671875	0.607955	0.675000
59	0.666404	0.609375	0.607550	0.675000
Best:0.687500
Aver:0.643333
