epoch	train_loss	train_acc	test_loss	test_acc
0	0.758659	0.640625	0.844803	0.650000
1	0.707609	0.609375	0.708551	0.675000
2	0.692020	0.640625	0.644081	0.712500
3	0.687492	0.687500	0.605444	0.725000
4	0.540783	0.718750	0.584610	0.750000
5	0.610981	0.656250	0.570635	0.762500
6	0.658663	0.687500	0.558802	0.762500
7	0.602541	0.671875	0.550859	0.762500
8	0.664441	0.656250	0.545630	0.787500
9	0.612264	0.640625	0.543109	0.787500
10	0.517426	0.765625	0.538599	0.787500
11	0.650666	0.765625	0.537407	0.787500
12	0.591321	0.765625	0.535131	0.775000
13	0.560513	0.687500	0.534994	0.775000
14	0.550144	0.703125	0.535540	0.775000
15	0.451634	0.812500	0.535386	0.775000
16	0.529120	0.703125	0.534725	0.775000
17	0.591461	0.718750	0.533267	0.775000
18	0.489541	0.750000	0.533914	0.775000
19	0.585046	0.640625	0.532368	0.775000
20	0.528606	0.765625	0.532244	0.762500
21	0.559028	0.718750	0.532704	0.762500
22	0.525045	0.781250	0.532409	0.762500
23	0.519034	0.781250	0.532531	0.762500
24	0.588356	0.656250	0.532279	0.762500
25	0.592900	0.687500	0.531890	0.762500
26	0.563923	0.734375	0.532754	0.762500
27	0.556889	0.656250	0.532283	0.762500
28	0.473578	0.812500	0.532029	0.762500
29	0.569599	0.703125	0.533488	0.762500
30	0.446758	0.828125	0.534219	0.762500
31	0.512734	0.781250	0.534652	0.762500
32	0.558994	0.750000	0.534429	0.762500
33	0.458245	0.796875	0.533726	0.762500
34	0.564124	0.781250	0.533742	0.762500
35	0.598818	0.718750	0.533309	0.762500
36	0.457732	0.781250	0.532603	0.762500
37	0.498637	0.750000	0.533293	0.762500
38	0.449040	0.812500	0.534209	0.762500
39	0.550132	0.718750	0.534759	0.775000
40	0.430710	0.796875	0.534365	0.762500
41	0.542503	0.765625	0.534152	0.762500
42	0.470337	0.828125	0.535241	0.775000
43	0.432994	0.812500	0.534841	0.762500
44	0.535271	0.750000	0.535261	0.775000
45	0.393649	0.859375	0.534479	0.762500
46	0.495653	0.812500	0.534757	0.762500
47	0.449960	0.843750	0.535217	0.775000
48	0.506063	0.765625	0.534436	0.762500
49	0.573271	0.687500	0.534799	0.775000
50	0.481171	0.796875	0.534582	0.762500
51	0.552370	0.765625	0.534754	0.762500
52	0.507321	0.765625	0.534251	0.762500
53	0.510938	0.750000	0.534077	0.762500
54	0.637425	0.671875	0.534329	0.762500
55	0.466795	0.828125	0.533986	0.762500
56	0.510714	0.781250	0.534362	0.762500
57	0.437480	0.843750	0.534710	0.762500
58	0.487394	0.765625	0.534245	0.762500
59	0.464557	0.781250	0.534215	0.762500
Best:0.787500
Aver:0.761875
