epoch	train_loss	train_acc	test_loss	test_acc
0	0.948874	0.531250	0.954768	0.537500
1	1.239788	0.500000	0.902219	0.525000
2	0.720255	0.593750	0.847559	0.537500
3	0.760787	0.640625	0.809800	0.550000
4	0.610657	0.640625	0.789858	0.562500
5	0.820904	0.625000	0.772845	0.575000
6	0.630659	0.625000	0.741040	0.587500
7	0.695918	0.546875	0.726439	0.587500
8	0.630909	0.656250	0.720186	0.587500
9	0.508359	0.765625	0.704605	0.575000
10	0.746190	0.593750	0.693553	0.575000
11	0.891674	0.500000	0.691974	0.600000
12	0.674544	0.593750	0.684365	0.600000
13	0.723311	0.562500	0.669150	0.637500
14	0.576927	0.656250	0.663608	0.625000
15	0.819737	0.546875	0.662627	0.637500
16	0.622738	0.609375	0.658190	0.637500
17	0.624661	0.687500	0.649561	0.637500
18	0.912757	0.500000	0.653823	0.650000
19	0.579311	0.765625	0.649488	0.637500
20	0.579991	0.687500	0.644047	0.637500
21	0.607203	0.593750	0.643168	0.637500
22	0.708953	0.609375	0.648616	0.637500
23	0.657437	0.609375	0.643137	0.662500
24	0.620839	0.687500	0.635491	0.637500
25	0.615886	0.671875	0.633972	0.637500
26	0.557414	0.703125	0.631190	0.650000
27	0.576619	0.687500	0.628361	0.662500
28	0.727365	0.640625	0.631525	0.650000
29	0.692151	0.640625	0.628016	0.650000
30	0.739967	0.593750	0.626885	0.662500
31	0.556847	0.703125	0.628041	0.650000
32	0.604827	0.703125	0.626626	0.650000
33	0.498782	0.781250	0.624464	0.675000
34	0.779150	0.562500	0.625066	0.662500
35	0.557059	0.718750	0.621826	0.662500
36	0.561608	0.671875	0.619395	0.662500
37	0.620352	0.593750	0.618697	0.650000
38	0.617082	0.640625	0.620355	0.662500
39	0.608455	0.656250	0.617366	0.675000
40	0.596495	0.625000	0.617204	0.675000
41	0.682183	0.656250	0.614619	0.675000
42	0.624280	0.578125	0.615428	0.662500
43	0.577743	0.671875	0.614202	0.675000
44	0.548186	0.718750	0.615476	0.662500
45	0.565012	0.656250	0.616282	0.675000
46	0.571163	0.671875	0.616261	0.675000
47	0.600448	0.671875	0.617521	0.687500
48	0.730703	0.531250	0.618825	0.662500
49	0.583110	0.671875	0.616761	0.687500
50	0.583628	0.656250	0.614840	0.662500
51	0.704086	0.593750	0.616546	0.687500
52	0.587373	0.562500	0.616698	0.687500
53	0.737111	0.468750	0.614338	0.662500
54	0.632417	0.656250	0.613779	0.662500
55	0.608182	0.687500	0.613669	0.662500
56	0.657381	0.625000	0.612594	0.675000
57	0.662518	0.593750	0.612814	0.675000
58	0.510192	0.750000	0.613360	0.662500
59	0.740696	0.531250	0.612469	0.675000
Best:0.687500
Aver:0.639792
