epoch	train_loss	train_acc	test_loss	test_acc
0	0.561096	0.703125	0.774698	0.662500
1	0.629940	0.656250	0.631154	0.700000
2	0.510775	0.703125	0.565629	0.737500
3	0.575895	0.703125	0.532875	0.787500
4	0.585852	0.734375	0.516899	0.762500
5	0.500787	0.781250	0.504175	0.737500
6	0.540372	0.734375	0.495630	0.737500
7	0.534111	0.718750	0.489004	0.762500
8	0.448764	0.812500	0.483767	0.775000
9	0.554055	0.734375	0.476147	0.762500
10	0.456056	0.843750	0.468206	0.750000
11	0.479946	0.765625	0.466192	0.762500
12	0.434713	0.781250	0.464210	0.762500
13	0.495632	0.734375	0.461918	0.775000
14	0.428574	0.765625	0.460415	0.737500
15	0.513176	0.765625	0.457907	0.737500
16	0.396677	0.812500	0.456891	0.762500
17	0.559694	0.734375	0.456734	0.787500
18	0.519965	0.765625	0.456859	0.750000
19	0.491943	0.750000	0.454356	0.750000
20	0.496933	0.765625	0.454778	0.762500
21	0.393876	0.828125	0.453142	0.762500
22	0.327499	0.921875	0.452792	0.750000
23	0.379627	0.859375	0.451607	0.737500
24	0.419543	0.828125	0.450185	0.750000
25	0.442457	0.796875	0.450567	0.762500
26	0.495169	0.718750	0.449701	0.762500
27	0.446065	0.781250	0.447254	0.737500
28	0.450528	0.781250	0.445909	0.737500
29	0.411560	0.796875	0.446629	0.750000
30	0.414054	0.843750	0.444899	0.762500
31	0.385177	0.812500	0.445486	0.762500
32	0.354261	0.859375	0.444565	0.762500
33	0.544400	0.734375	0.444478	0.750000
34	0.359287	0.859375	0.444864	0.750000
35	0.572145	0.781250	0.445291	0.787500
36	0.429159	0.812500	0.445624	0.787500
37	0.401892	0.843750	0.446550	0.775000
38	0.392427	0.843750	0.446475	0.775000
39	0.448257	0.796875	0.446780	0.762500
40	0.429067	0.781250	0.447019	0.762500
41	0.456420	0.796875	0.447106	0.750000
42	0.369710	0.875000	0.447134	0.750000
43	0.463936	0.781250	0.446914	0.750000
44	0.491354	0.765625	0.447334	0.750000
45	0.378170	0.812500	0.447895	0.750000
46	0.421579	0.781250	0.448142	0.750000
47	0.366939	0.859375	0.448043	0.750000
48	0.383351	0.859375	0.447967	0.750000
49	0.398280	0.796875	0.448080	0.750000
50	0.340355	0.843750	0.448314	0.775000
51	0.464913	0.781250	0.448107	0.750000
52	0.400010	0.828125	0.448012	0.750000
53	0.306126	0.890625	0.447871	0.750000
54	0.371005	0.859375	0.448013	0.762500
55	0.328668	0.875000	0.447909	0.775000
56	0.441765	0.781250	0.447979	0.750000
57	0.402981	0.843750	0.447976	0.750000
58	0.435548	0.812500	0.447938	0.762500
59	0.290133	0.906250	0.448014	0.762500
Best:0.787500
Aver:0.754792
