epoch	train_loss	train_acc	test_loss	test_acc
0	0.792860	0.531250	0.513493	0.725000
1	0.713664	0.578125	0.516934	0.725000
2	0.641989	0.593750	0.509951	0.712500
3	0.619485	0.640625	0.493908	0.737500
4	0.626678	0.640625	0.473280	0.737500
5	0.580781	0.703125	0.457080	0.762500
6	0.580537	0.656250	0.440447	0.775000
7	0.607094	0.640625	0.428181	0.787500
8	0.571631	0.734375	0.417703	0.825000
9	0.579280	0.593750	0.409963	0.825000
10	0.507019	0.796875	0.398119	0.825000
11	0.446239	0.828125	0.391098	0.825000
12	0.569509	0.703125	0.384953	0.837500
13	0.477387	0.718750	0.379046	0.837500
14	0.397200	0.843750	0.374161	0.837500
15	0.423926	0.828125	0.369562	0.837500
16	0.529632	0.671875	0.366337	0.837500
17	0.487346	0.734375	0.363786	0.837500
18	0.530811	0.734375	0.359955	0.837500
19	0.442290	0.828125	0.356843	0.837500
20	0.458500	0.765625	0.354297	0.837500
21	0.508502	0.765625	0.351013	0.837500
22	0.548207	0.734375	0.347890	0.850000
23	0.425196	0.828125	0.345086	0.850000
24	0.491816	0.781250	0.343080	0.850000
25	0.449990	0.796875	0.341452	0.862500
26	0.570125	0.703125	0.338234	0.862500
27	0.398087	0.796875	0.336010	0.862500
28	0.440849	0.750000	0.335032	0.862500
29	0.376003	0.859375	0.332364	0.862500
30	0.410154	0.812500	0.330343	0.862500
31	0.435114	0.796875	0.329311	0.862500
32	0.514961	0.750000	0.328632	0.862500
33	0.527659	0.750000	0.327130	0.862500
34	0.438718	0.812500	0.325763	0.862500
35	0.322281	0.906250	0.324838	0.862500
36	0.451294	0.812500	0.323393	0.862500
37	0.420818	0.781250	0.322226	0.862500
38	0.368480	0.812500	0.321861	0.862500
39	0.416807	0.859375	0.320529	0.862500
40	0.528875	0.781250	0.319808	0.850000
41	0.415400	0.796875	0.318802	0.862500
42	0.394801	0.828125	0.318287	0.862500
43	0.392569	0.843750	0.317882	0.850000
44	0.381204	0.843750	0.316772	0.850000
45	0.391766	0.828125	0.315818	0.850000
46	0.390804	0.859375	0.315225	0.850000
47	0.478203	0.781250	0.314842	0.850000
48	0.392455	0.812500	0.314502	0.850000
49	0.307812	0.859375	0.313979	0.850000
50	0.377102	0.828125	0.313638	0.850000
51	0.364112	0.828125	0.313432	0.850000
52	0.382610	0.796875	0.313220	0.850000
53	0.398370	0.843750	0.313085	0.850000
54	0.462034	0.812500	0.312975	0.850000
55	0.462597	0.796875	0.312934	0.850000
56	0.340917	0.859375	0.313009	0.850000
57	0.336658	0.890625	0.313001	0.850000
58	0.475876	0.796875	0.312900	0.850000
59	0.405438	0.781250	0.312934	0.850000
Best:0.862500
Aver:0.835833
