epoch	train_loss	train_acc	test_loss	test_acc
0	0.813546	0.578125	1.097812	0.475000
1	0.830366	0.546875	1.073499	0.512500
2	0.828531	0.578125	1.049047	0.525000
3	0.899620	0.562500	1.016180	0.512500
4	0.808065	0.562500	0.972924	0.525000
5	0.697013	0.671875	0.935116	0.525000
6	0.664522	0.687500	0.898597	0.525000
7	0.771756	0.500000	0.869012	0.537500
8	0.657796	0.625000	0.839812	0.537500
9	0.690387	0.578125	0.809633	0.562500
10	0.703527	0.562500	0.777135	0.562500
11	0.606084	0.640625	0.752767	0.562500
12	0.608994	0.656250	0.732444	0.562500
13	0.614515	0.750000	0.719335	0.562500
14	0.633468	0.578125	0.704083	0.587500
15	0.624701	0.625000	0.691431	0.612500
16	0.735236	0.578125	0.681320	0.625000
17	0.572163	0.734375	0.671574	0.637500
18	0.570174	0.703125	0.659226	0.637500
19	0.509827	0.734375	0.650715	0.637500
20	0.645673	0.687500	0.645626	0.637500
21	0.598084	0.609375	0.639388	0.637500
22	0.573913	0.687500	0.630543	0.650000
23	0.515768	0.734375	0.621962	0.662500
24	0.637792	0.703125	0.614112	0.662500
25	0.559911	0.750000	0.607681	0.675000
26	0.580870	0.703125	0.601960	0.675000
27	0.512615	0.734375	0.596207	0.687500
28	0.489122	0.828125	0.591543	0.687500
29	0.523684	0.640625	0.586888	0.687500
30	0.483036	0.765625	0.583226	0.675000
31	0.546242	0.718750	0.577240	0.700000
32	0.535463	0.718750	0.573496	0.700000
33	0.547894	0.687500	0.569189	0.712500
34	0.441828	0.859375	0.566291	0.712500
35	0.574282	0.687500	0.562103	0.712500
36	0.524373	0.765625	0.559179	0.725000
37	0.547324	0.750000	0.555002	0.725000
38	0.528675	0.703125	0.552821	0.725000
39	0.543261	0.687500	0.550171	0.737500
40	0.516191	0.765625	0.547619	0.737500
41	0.599211	0.656250	0.544637	0.725000
42	0.387183	0.859375	0.542983	0.725000
43	0.628002	0.671875	0.541981	0.737500
44	0.478945	0.781250	0.540545	0.737500
45	0.495439	0.765625	0.539621	0.737500
46	0.557795	0.703125	0.537822	0.737500
47	0.448744	0.843750	0.536852	0.737500
48	0.510554	0.828125	0.536772	0.737500
49	0.471707	0.750000	0.536378	0.737500
50	0.498417	0.765625	0.536078	0.737500
51	0.532925	0.734375	0.535468	0.737500
52	0.415912	0.859375	0.534638	0.737500
53	0.564923	0.718750	0.533771	0.737500
54	0.485480	0.843750	0.533437	0.737500
55	0.494975	0.765625	0.533757	0.737500
56	0.411810	0.796875	0.533176	0.737500
57	0.441464	0.812500	0.533850	0.737500
58	0.397555	0.828125	0.534683	0.737500
59	0.528301	0.750000	0.533759	0.737500
Best:0.737500
Aver:0.662292
