epoch	train_loss	train_acc	test_loss	test_acc
0	0.695664	0.687500	0.556356	0.725000
1	0.615277	0.656250	0.541189	0.725000
2	0.543326	0.687500	0.532369	0.737500
3	0.457410	0.812500	0.524954	0.725000
4	0.634717	0.656250	0.520314	0.725000
5	0.444838	0.796875	0.518337	0.737500
6	0.491086	0.734375	0.517035	0.737500
7	0.520877	0.765625	0.516864	0.762500
8	0.513117	0.734375	0.512104	0.775000
9	0.495597	0.734375	0.511578	0.762500
10	0.502819	0.781250	0.510169	0.762500
11	0.535851	0.687500	0.510725	0.762500
12	0.566583	0.750000	0.510187	0.762500
13	0.619756	0.703125	0.508731	0.762500
14	0.545877	0.750000	0.510132	0.750000
15	0.399509	0.812500	0.508394	0.750000
16	0.513456	0.765625	0.506738	0.750000
17	0.506475	0.750000	0.506454	0.750000
18	0.452789	0.796875	0.506693	0.750000
19	0.492512	0.765625	0.508117	0.737500
20	0.439776	0.781250	0.507052	0.737500
21	0.594104	0.750000	0.506915	0.737500
22	0.604241	0.718750	0.507767	0.737500
23	0.491326	0.812500	0.509338	0.737500
24	0.391992	0.828125	0.505849	0.737500
25	0.513526	0.750000	0.505698	0.725000
26	0.527906	0.734375	0.504877	0.725000
27	0.497337	0.750000	0.502619	0.750000
28	0.486287	0.750000	0.502899	0.750000
29	0.456535	0.781250	0.503358	0.750000
30	0.596961	0.671875	0.503153	0.750000
31	0.413500	0.828125	0.505102	0.750000
32	0.495416	0.703125	0.506738	0.737500
33	0.438150	0.796875	0.507196	0.737500
34	0.335122	0.890625	0.506310	0.750000
35	0.424461	0.843750	0.505887	0.750000
36	0.458661	0.812500	0.505448	0.750000
37	0.424180	0.812500	0.505962	0.750000
38	0.510028	0.796875	0.507058	0.750000
39	0.495262	0.750000	0.507177	0.750000
40	0.419637	0.828125	0.506927	0.750000
41	0.339110	0.843750	0.509230	0.737500
42	0.544255	0.718750	0.507917	0.750000
43	0.454236	0.750000	0.508755	0.750000
44	0.396054	0.843750	0.508791	0.750000
45	0.589449	0.687500	0.507779	0.750000
46	0.423343	0.781250	0.506850	0.750000
47	0.450970	0.812500	0.507117	0.750000
48	0.436034	0.796875	0.508080	0.750000
49	0.446473	0.828125	0.507047	0.750000
50	0.465479	0.843750	0.507073	0.750000
51	0.573871	0.671875	0.505656	0.750000
52	0.394628	0.859375	0.506626	0.750000
53	0.510224	0.781250	0.506839	0.750000
54	0.560450	0.750000	0.506227	0.750000
55	0.383224	0.859375	0.506538	0.750000
56	0.382399	0.812500	0.507010	0.750000
57	0.465249	0.828125	0.507077	0.750000
58	0.576495	0.703125	0.506330	0.750000
59	0.417651	0.781250	0.508365	0.750000
Best:0.775000
Aver:0.746667
