epoch	train_loss	train_acc	test_loss	test_acc
0	0.710083	0.656250	0.584978	0.675000
1	0.645995	0.640625	0.574933	0.737500
2	0.687172	0.625000	0.574698	0.725000
3	0.639659	0.640625	0.578255	0.712500
4	0.625717	0.687500	0.575945	0.737500
5	0.743229	0.578125	0.578194	0.712500
6	0.663019	0.625000	0.576507	0.712500
7	0.608489	0.718750	0.574252	0.725000
8	0.577763	0.687500	0.574543	0.712500
9	0.721193	0.484375	0.571504	0.737500
10	0.614596	0.656250	0.570547	0.737500
11	0.624523	0.640625	0.570243	0.725000
12	0.658015	0.671875	0.568545	0.725000
13	0.691248	0.625000	0.568632	0.725000
14	0.610823	0.687500	0.567856	0.725000
15	0.671776	0.640625	0.567817	0.725000
16	0.625746	0.640625	0.567055	0.737500
17	0.603960	0.625000	0.565306	0.737500
18	0.576464	0.734375	0.563760	0.737500
19	0.591359	0.671875	0.564597	0.737500
20	0.597534	0.750000	0.563947	0.737500
21	0.497838	0.750000	0.564801	0.737500
22	0.532903	0.765625	0.565296	0.737500
23	0.563668	0.703125	0.563969	0.725000
24	0.545946	0.734375	0.564048	0.725000
25	0.588063	0.671875	0.563144	0.712500
26	0.602276	0.671875	0.563102	0.712500
27	0.480935	0.828125	0.562908	0.712500
28	0.524353	0.750000	0.561562	0.712500
29	0.717155	0.562500	0.561055	0.712500
30	0.631545	0.656250	0.560293	0.725000
31	0.554205	0.750000	0.559629	0.725000
32	0.565191	0.750000	0.558174	0.725000
33	0.615327	0.687500	0.557785	0.725000
34	0.542467	0.718750	0.556655	0.725000
35	0.505312	0.750000	0.556178	0.725000
36	0.628182	0.703125	0.556824	0.725000
37	0.577689	0.750000	0.556701	0.725000
38	0.513261	0.734375	0.556754	0.725000
39	0.512302	0.734375	0.557046	0.725000
40	0.508795	0.734375	0.556372	0.725000
41	0.603757	0.656250	0.556427	0.725000
42	0.519984	0.765625	0.556297	0.725000
43	0.508085	0.781250	0.556481	0.725000
44	0.496566	0.781250	0.557171	0.725000
45	0.612950	0.671875	0.556798	0.725000
46	0.512640	0.750000	0.556063	0.725000
47	0.637341	0.671875	0.556535	0.725000
48	0.523818	0.703125	0.556678	0.725000
49	0.694112	0.609375	0.557190	0.712500
50	0.491115	0.734375	0.556491	0.725000
51	0.519345	0.781250	0.556569	0.725000
52	0.605347	0.609375	0.555931	0.725000
53	0.594731	0.718750	0.556513	0.725000
54	0.529177	0.687500	0.556470	0.725000
55	0.610382	0.640625	0.555825	0.725000
56	0.599919	0.671875	0.556034	0.725000
57	0.569505	0.734375	0.556141	0.725000
58	0.443400	0.796875	0.555767	0.725000
59	0.545166	0.671875	0.555180	0.725000
Best:0.737500
Aver:0.724375
