epoch	train_loss	train_acc	test_loss	test_acc
0	0.476050	0.781250	0.435569	0.787500
1	0.427586	0.765625	0.366448	0.825000
2	0.322768	0.875000	0.337062	0.825000
3	0.350456	0.875000	0.321893	0.875000
4	0.395628	0.875000	0.321861	0.875000
5	0.345497	0.828125	0.320709	0.887500
6	0.360481	0.796875	0.320590	0.887500
7	0.263752	0.921875	0.316446	0.900000
8	0.339927	0.859375	0.315491	0.900000
9	0.353403	0.796875	0.309690	0.912500
10	0.355084	0.812500	0.305905	0.912500
11	0.286146	0.843750	0.305957	0.912500
12	0.312907	0.875000	0.303505	0.912500
13	0.406905	0.812500	0.302074	0.912500
14	0.317438	0.843750	0.297154	0.900000
15	0.397061	0.828125	0.296309	0.900000
16	0.343814	0.859375	0.293425	0.900000
17	0.288767	0.875000	0.292831	0.900000
18	0.205143	0.953125	0.289197	0.900000
19	0.219612	0.906250	0.295241	0.900000
20	0.293989	0.890625	0.292508	0.900000
21	0.279381	0.906250	0.293380	0.900000
22	0.351304	0.796875	0.297590	0.900000
23	0.366228	0.812500	0.294109	0.900000
24	0.207162	0.937500	0.289616	0.900000
25	0.296830	0.890625	0.292620	0.900000
26	0.335427	0.859375	0.290754	0.900000
27	0.256658	0.890625	0.290887	0.900000
28	0.247930	0.906250	0.288660	0.900000
29	0.232847	0.953125	0.288810	0.900000
30	0.363858	0.828125	0.289147	0.900000
31	0.294744	0.859375	0.287566	0.900000
32	0.281083	0.875000	0.286523	0.900000
33	0.259640	0.906250	0.286452	0.900000
34	0.197974	0.953125	0.288364	0.887500
35	0.360570	0.859375	0.288218	0.887500
36	0.373501	0.843750	0.286913	0.887500
37	0.214601	0.906250	0.285472	0.900000
38	0.283222	0.921875	0.285668	0.900000
39	0.304251	0.906250	0.284227	0.900000
40	0.271051	0.859375	0.284100	0.887500
41	0.171898	0.953125	0.283595	0.900000
42	0.284062	0.859375	0.282705	0.900000
43	0.317900	0.843750	0.281002	0.900000
44	0.266332	0.906250	0.281949	0.900000
45	0.228431	0.921875	0.281863	0.900000
46	0.245894	0.921875	0.281221	0.900000
47	0.264531	0.906250	0.281242	0.900000
48	0.208704	0.921875	0.282118	0.900000
49	0.293978	0.843750	0.281070	0.900000
50	0.331957	0.859375	0.281681	0.900000
51	0.358345	0.859375	0.281542	0.900000
52	0.368208	0.828125	0.280758	0.900000
53	0.221257	0.921875	0.281135	0.900000
54	0.329384	0.859375	0.282141	0.900000
55	0.267037	0.906250	0.282172	0.900000
56	0.242485	0.875000	0.281752	0.900000
57	0.234102	0.890625	0.282277	0.900000
58	0.254271	0.906250	0.282917	0.900000
59	0.286998	0.875000	0.283202	0.887500
Best:0.912500
Aver:0.894375
