0	0.525000
1	0.537500
2	0.512500
3	0.512500
4	0.587500
5	0.562500
6	0.650000
7	0.787500
8	0.762500
9	0.887500
10	0.912500
11	0.912500
12	0.900000
13	0.925000
14	0.925000
15	0.925000
16	0.937500
17	0.912500
18	0.937500
19	0.950000
20	0.937500
21	0.912500
22	0.937500
23	0.925000
24	0.950000
25	0.937500
26	0.937500
27	0.937500
28	0.937500
29	0.950000
30	0.937500
31	0.950000
32	0.950000
33	0.912500
34	0.937500
35	0.937500
36	0.937500
37	0.950000
38	0.950000
39	0.962500
Best: 0.9625000357627869
Aver: 0.8587500065565109
