epoch	train_loss	train_acc	test_loss	test_acc
0	0.883376	0.562500	0.948811	0.637500
1	0.659503	0.703125	0.817395	0.687500
2	0.682311	0.656250	0.757743	0.687500
3	0.781010	0.625000	0.725431	0.687500
4	0.718454	0.625000	0.702443	0.687500
5	0.590087	0.703125	0.689067	0.687500
6	0.691411	0.687500	0.678193	0.687500
7	0.670416	0.625000	0.667531	0.700000
8	0.507274	0.734375	0.660664	0.712500
9	0.741239	0.625000	0.653176	0.712500
10	0.621460	0.765625	0.648130	0.700000
11	0.622105	0.687500	0.640926	0.712500
12	0.592258	0.718750	0.636998	0.725000
13	0.516808	0.781250	0.632981	0.725000
14	0.522668	0.718750	0.629268	0.725000
15	0.647387	0.656250	0.626717	0.712500
16	0.560727	0.750000	0.624309	0.712500
17	0.562309	0.718750	0.619990	0.712500
18	0.570877	0.765625	0.616911	0.712500
19	0.605915	0.687500	0.614249	0.712500
20	0.575761	0.718750	0.612759	0.712500
21	0.591151	0.718750	0.610721	0.712500
22	0.667404	0.671875	0.608749	0.725000
23	0.584265	0.765625	0.607088	0.725000
24	0.617888	0.656250	0.605406	0.725000
25	0.558529	0.750000	0.604979	0.725000
26	0.616418	0.687500	0.604360	0.725000
27	0.759389	0.578125	0.603166	0.725000
28	0.527238	0.781250	0.602357	0.725000
29	0.464913	0.781250	0.600433	0.725000
30	0.509562	0.765625	0.600557	0.725000
31	0.451911	0.765625	0.599441	0.725000
32	0.453631	0.796875	0.599210	0.712500
33	0.541851	0.703125	0.599181	0.712500
34	0.501294	0.687500	0.599063	0.712500
35	0.659038	0.703125	0.597980	0.712500
36	0.506622	0.812500	0.597046	0.712500
37	0.520300	0.781250	0.596506	0.712500
38	0.641591	0.625000	0.594815	0.712500
39	0.597036	0.718750	0.594868	0.712500
40	0.571402	0.734375	0.595680	0.712500
41	0.593444	0.750000	0.595337	0.712500
42	0.539879	0.750000	0.595232	0.712500
43	0.449218	0.812500	0.594747	0.712500
44	0.469498	0.765625	0.594622	0.712500
45	0.566936	0.671875	0.594312	0.712500
46	0.534249	0.765625	0.594177	0.712500
47	0.451885	0.812500	0.593898	0.712500
48	0.617433	0.640625	0.593482	0.712500
49	0.496278	0.734375	0.593341	0.712500
50	0.452224	0.859375	0.592508	0.712500
51	0.483497	0.765625	0.592812	0.712500
52	0.528335	0.796875	0.593094	0.712500
53	0.613531	0.718750	0.592540	0.712500
54	0.719321	0.656250	0.592859	0.712500
55	0.554863	0.781250	0.592863	0.712500
56	0.583825	0.718750	0.593059	0.712500
57	0.520919	0.750000	0.593179	0.712500
58	0.524159	0.687500	0.593097	0.712500
59	0.574361	0.718750	0.592901	0.712500
Best:0.725000
Aver:0.711042
