epoch	train_loss	train_acc	test_loss	test_acc
0	0.542770	0.703125	0.898659	0.575000
1	0.576598	0.718750	0.593890	0.687500
2	0.482704	0.750000	0.501075	0.762500
3	0.471681	0.812500	0.458917	0.787500
4	0.452989	0.796875	0.447466	0.787500
5	0.628109	0.671875	0.438842	0.800000
6	0.506855	0.750000	0.431097	0.812500
7	0.619727	0.656250	0.427253	0.812500
8	0.467986	0.796875	0.424022	0.812500
9	0.500876	0.750000	0.423813	0.812500
10	0.482327	0.828125	0.418714	0.812500
11	0.341170	0.859375	0.416925	0.812500
12	0.581039	0.671875	0.414553	0.800000
13	0.607454	0.703125	0.411924	0.800000
14	0.480290	0.718750	0.407902	0.800000
15	0.539152	0.781250	0.404037	0.800000
16	0.423693	0.843750	0.403041	0.787500
17	0.390460	0.843750	0.401987	0.787500
18	0.405408	0.843750	0.398778	0.812500
19	0.469063	0.812500	0.398093	0.787500
20	0.502105	0.718750	0.393723	0.800000
21	0.375234	0.812500	0.390554	0.800000
22	0.479950	0.796875	0.390131	0.800000
23	0.371282	0.875000	0.387442	0.800000
24	0.406178	0.812500	0.386336	0.800000
25	0.455304	0.812500	0.384681	0.812500
26	0.470207	0.781250	0.384933	0.800000
27	0.399068	0.843750	0.381119	0.812500
28	0.369532	0.843750	0.380433	0.812500
29	0.331376	0.875000	0.378368	0.812500
30	0.391947	0.812500	0.375800	0.825000
31	0.379759	0.843750	0.373133	0.825000
32	0.343749	0.843750	0.374109	0.825000
33	0.384276	0.843750	0.372740	0.825000
34	0.424845	0.828125	0.371231	0.812500
35	0.429159	0.812500	0.369676	0.825000
36	0.406931	0.796875	0.370932	0.837500
37	0.395605	0.843750	0.370450	0.837500
38	0.396097	0.796875	0.368648	0.825000
39	0.385968	0.812500	0.368134	0.825000
40	0.410955	0.812500	0.366039	0.825000
41	0.572759	0.718750	0.364441	0.825000
42	0.429002	0.812500	0.364994	0.825000
43	0.450416	0.812500	0.364671	0.825000
44	0.383275	0.859375	0.364651	0.837500
45	0.471190	0.765625	0.364165	0.837500
46	0.428510	0.812500	0.364525	0.837500
47	0.508770	0.750000	0.364507	0.837500
48	0.455939	0.718750	0.365315	0.825000
49	0.294939	0.843750	0.365453	0.837500
50	0.352210	0.796875	0.364660	0.837500
51	0.314781	0.875000	0.364220	0.837500
52	0.346434	0.843750	0.365275	0.837500
53	0.403652	0.781250	0.364513	0.825000
54	0.411247	0.812500	0.363258	0.837500
55	0.318742	0.859375	0.363675	0.837500
56	0.416704	0.796875	0.364265	0.825000
57	0.517081	0.812500	0.363149	0.837500
58	0.461442	0.828125	0.363520	0.837500
59	0.312830	0.906250	0.363953	0.837500
Best:0.837500
Aver:0.810417
