epoch	train_loss	train_acc	test_loss	test_acc
0	0.540985	0.718750	0.529060	0.725000
1	0.467684	0.828125	0.398790	0.775000
2	0.382306	0.812500	0.339209	0.850000
3	0.408182	0.812500	0.308874	0.887500
4	0.367346	0.843750	0.292790	0.900000
5	0.359963	0.859375	0.283212	0.900000
6	0.440358	0.796875	0.277721	0.900000
7	0.281385	0.875000	0.272664	0.887500
8	0.384840	0.812500	0.269678	0.887500
9	0.529780	0.796875	0.266342	0.887500
10	0.399895	0.796875	0.264039	0.900000
11	0.369692	0.843750	0.262371	0.900000
12	0.416463	0.796875	0.261093	0.900000
13	0.420704	0.812500	0.258676	0.900000
14	0.406429	0.828125	0.257189	0.900000
15	0.266439	0.906250	0.256149	0.900000
16	0.395597	0.843750	0.254804	0.900000
17	0.287937	0.906250	0.254537	0.900000
18	0.322627	0.890625	0.252895	0.900000
19	0.243724	0.937500	0.252928	0.900000
20	0.468520	0.781250	0.253314	0.900000
21	0.312653	0.875000	0.253241	0.900000
22	0.404028	0.828125	0.253620	0.900000
23	0.242154	0.875000	0.253593	0.900000
24	0.249210	0.921875	0.253608	0.900000
25	0.338439	0.843750	0.254317	0.900000
26	0.355146	0.875000	0.254247	0.900000
27	0.410078	0.828125	0.253092	0.900000
28	0.316830	0.828125	0.252071	0.900000
29	0.326682	0.828125	0.251852	0.900000
30	0.248784	0.890625	0.251595	0.900000
31	0.301581	0.875000	0.251983	0.900000
32	0.334830	0.859375	0.251752	0.900000
33	0.253876	0.859375	0.251361	0.900000
34	0.304243	0.875000	0.252348	0.900000
35	0.319691	0.843750	0.252599	0.900000
36	0.234799	0.890625	0.251602	0.900000
37	0.368904	0.812500	0.250910	0.900000
38	0.248677	0.890625	0.250326	0.900000
39	0.404299	0.812500	0.251346	0.900000
40	0.242710	0.921875	0.250860	0.900000
41	0.317321	0.875000	0.251360	0.900000
42	0.211421	0.906250	0.250635	0.900000
43	0.228867	0.890625	0.250267	0.900000
44	0.259656	0.921875	0.250267	0.900000
45	0.265451	0.890625	0.250442	0.900000
46	0.256414	0.875000	0.250477	0.900000
47	0.201741	0.921875	0.250255	0.900000
48	0.280923	0.875000	0.250021	0.900000
49	0.248360	0.890625	0.249981	0.900000
50	0.250553	0.906250	0.250203	0.900000
51	0.290129	0.875000	0.250492	0.900000
52	0.255539	0.890625	0.250266	0.900000
53	0.254907	0.921875	0.250550	0.900000
54	0.364336	0.875000	0.250746	0.900000
55	0.334385	0.859375	0.250564	0.900000
56	0.363534	0.828125	0.250192	0.900000
57	0.323914	0.890625	0.250319	0.900000
58	0.385624	0.812500	0.250234	0.900000
59	0.318851	0.859375	0.250531	0.900000
Best:0.900000
Aver:0.893333
