epoch	train_loss	train_acc	test_loss	test_acc
0	0.566082	0.781250	0.510680	0.787500
1	0.659620	0.718750	0.473778	0.787500
2	0.510042	0.765625	0.457077	0.787500
3	0.517699	0.765625	0.451997	0.812500
4	0.508853	0.781250	0.451501	0.812500
5	0.518683	0.765625	0.452448	0.812500
6	0.450341	0.796875	0.453781	0.800000
7	0.399779	0.875000	0.454412	0.800000
8	0.566656	0.718750	0.456044	0.800000
9	0.408764	0.843750	0.458020	0.812500
10	0.420486	0.843750	0.456917	0.812500
11	0.422302	0.843750	0.457772	0.812500
12	0.498805	0.765625	0.460802	0.800000
13	0.443096	0.781250	0.462421	0.787500
14	0.476904	0.750000	0.462246	0.787500
15	0.492960	0.703125	0.462588	0.787500
16	0.372108	0.828125	0.463341	0.787500
17	0.549715	0.765625	0.465809	0.787500
18	0.403246	0.828125	0.466746	0.787500
19	0.648549	0.687500	0.468252	0.787500
20	0.464964	0.796875	0.467680	0.787500
21	0.402187	0.843750	0.467498	0.787500
22	0.483620	0.765625	0.466783	0.787500
23	0.376317	0.796875	0.467124	0.787500
24	0.603172	0.703125	0.471613	0.800000
25	0.443272	0.796875	0.471872	0.800000
26	0.466448	0.812500	0.472525	0.800000
27	0.574427	0.734375	0.471402	0.800000
28	0.375869	0.812500	0.471201	0.800000
29	0.473125	0.796875	0.470595	0.800000
30	0.441548	0.781250	0.469544	0.800000
31	0.470770	0.765625	0.469927	0.800000
32	0.412392	0.796875	0.469768	0.800000
33	0.355476	0.890625	0.469641	0.800000
34	0.490385	0.812500	0.471454	0.800000
35	0.431683	0.796875	0.471782	0.800000
36	0.408545	0.828125	0.471918	0.800000
37	0.412231	0.828125	0.472052	0.800000
38	0.386981	0.828125	0.472292	0.800000
39	0.486810	0.796875	0.473848	0.800000
40	0.499528	0.750000	0.473698	0.800000
41	0.502743	0.796875	0.473330	0.800000
42	0.495662	0.750000	0.472269	0.800000
43	0.403000	0.843750	0.472648	0.800000
44	0.530543	0.718750	0.473872	0.800000
45	0.303088	0.906250	0.474467	0.800000
46	0.462968	0.781250	0.473842	0.800000
47	0.511472	0.796875	0.474274	0.800000
48	0.427830	0.796875	0.474727	0.800000
49	0.395589	0.843750	0.475310	0.800000
50	0.351567	0.828125	0.475227	0.800000
51	0.373138	0.828125	0.475579	0.800000
52	0.374060	0.843750	0.476061	0.800000
53	0.440762	0.796875	0.476058	0.800000
54	0.364202	0.843750	0.476556	0.800000
55	0.469773	0.781250	0.476642	0.800000
56	0.390265	0.812500	0.476119	0.800000
57	0.465612	0.796875	0.475939	0.800000
58	0.486840	0.812500	0.475944	0.800000
59	0.460157	0.781250	0.475933	0.800000
Best:0.812500
Aver:0.798333
