epoch	train_loss	train_acc	test_loss	test_acc
0	0.545328	0.703125	0.560258	0.750000
1	0.501495	0.671875	0.505659	0.800000
2	0.481901	0.718750	0.476424	0.787500
3	0.522823	0.750000	0.452111	0.812500
4	0.449350	0.812500	0.429536	0.787500
5	0.485428	0.734375	0.419190	0.787500
6	0.376149	0.921875	0.414776	0.787500
7	0.608875	0.703125	0.406098	0.787500
8	0.687462	0.578125	0.398411	0.800000
9	0.476280	0.734375	0.396304	0.800000
10	0.473100	0.781250	0.389303	0.812500
11	0.414935	0.796875	0.381491	0.812500
12	0.460516	0.781250	0.376316	0.812500
13	0.566527	0.765625	0.373257	0.812500
14	0.397228	0.828125	0.369453	0.812500
15	0.418385	0.812500	0.365378	0.812500
16	0.387523	0.859375	0.364658	0.812500
17	0.356803	0.906250	0.360025	0.812500
18	0.419801	0.796875	0.355876	0.825000
19	0.431475	0.843750	0.353384	0.825000
20	0.425648	0.828125	0.350621	0.825000
21	0.361169	0.812500	0.349364	0.825000
22	0.432179	0.812500	0.348583	0.825000
23	0.609038	0.718750	0.348140	0.825000
24	0.423336	0.828125	0.346068	0.825000
25	0.425866	0.781250	0.342974	0.825000
26	0.381083	0.828125	0.342439	0.825000
27	0.458901	0.781250	0.341671	0.837500
28	0.382009	0.828125	0.339304	0.837500
29	0.344378	0.890625	0.337569	0.837500
30	0.430972	0.812500	0.337391	0.837500
31	0.416042	0.796875	0.335894	0.837500
32	0.290795	0.906250	0.335525	0.837500
33	0.455400	0.718750	0.335673	0.850000
34	0.387158	0.812500	0.335362	0.837500
35	0.333258	0.890625	0.335567	0.837500
36	0.368232	0.843750	0.335827	0.850000
37	0.340929	0.843750	0.335172	0.850000
38	0.468469	0.781250	0.334915	0.850000
39	0.364647	0.875000	0.333067	0.850000
40	0.411892	0.828125	0.334416	0.850000
41	0.453045	0.796875	0.333152	0.850000
42	0.298202	0.890625	0.333488	0.850000
43	0.351422	0.859375	0.334445	0.850000
44	0.411194	0.812500	0.332275	0.837500
45	0.342378	0.843750	0.332447	0.850000
46	0.396241	0.796875	0.331293	0.837500
47	0.305521	0.875000	0.330747	0.837500
48	0.415009	0.812500	0.332556	0.850000
49	0.473083	0.781250	0.331888	0.850000
50	0.279176	0.921875	0.331426	0.850000
51	0.387782	0.828125	0.330434	0.837500
52	0.434740	0.812500	0.329917	0.837500
53	0.335713	0.875000	0.330241	0.837500
54	0.345896	0.828125	0.330347	0.837500
55	0.265570	0.890625	0.330176	0.837500
56	0.350631	0.812500	0.331356	0.850000
57	0.282565	0.937500	0.330412	0.837500
58	0.322895	0.828125	0.329985	0.837500
59	0.363051	0.796875	0.330298	0.837500
Best:0.850000
Aver:0.827292
