epoch	train_loss	train_acc	test_loss	test_acc
0	0.529637	0.734375	0.734946	0.687500
1	0.535519	0.796875	0.709931	0.687500
2	0.529667	0.734375	0.679843	0.687500
3	0.442975	0.796875	0.656469	0.687500
4	0.553807	0.718750	0.636624	0.712500
5	0.499090	0.781250	0.617889	0.712500
6	0.458823	0.750000	0.606146	0.737500
7	0.570062	0.703125	0.595424	0.750000
8	0.403803	0.781250	0.585723	0.750000
9	0.518152	0.718750	0.576755	0.775000
10	0.417993	0.796875	0.570400	0.762500
11	0.516632	0.750000	0.564477	0.775000
12	0.462879	0.765625	0.558437	0.775000
13	0.375563	0.828125	0.552277	0.775000
14	0.450123	0.734375	0.545307	0.762500
15	0.508089	0.750000	0.542296	0.787500
16	0.417879	0.796875	0.536157	0.787500
17	0.367314	0.843750	0.532523	0.800000
18	0.428409	0.812500	0.527857	0.787500
19	0.410184	0.796875	0.523055	0.787500
20	0.405528	0.828125	0.518883	0.775000
21	0.451709	0.765625	0.513175	0.775000
22	0.417968	0.812500	0.512078	0.787500
23	0.303994	0.875000	0.511035	0.775000
24	0.455538	0.781250	0.509525	0.762500
25	0.336907	0.859375	0.503631	0.775000
26	0.399845	0.828125	0.500617	0.775000
27	0.341062	0.890625	0.496979	0.775000
28	0.392694	0.859375	0.495601	0.762500
29	0.401149	0.812500	0.491650	0.762500
30	0.396958	0.828125	0.490354	0.775000
31	0.372290	0.828125	0.487851	0.762500
32	0.438859	0.812500	0.484956	0.762500
33	0.395470	0.828125	0.483765	0.775000
34	0.319062	0.906250	0.484180	0.775000
35	0.381343	0.828125	0.481759	0.762500
36	0.350626	0.812500	0.479188	0.775000
37	0.342202	0.859375	0.478477	0.762500
38	0.310065	0.890625	0.477901	0.762500
39	0.415503	0.796875	0.476881	0.762500
40	0.334119	0.828125	0.476407	0.762500
41	0.354834	0.875000	0.475931	0.762500
42	0.373425	0.843750	0.473218	0.762500
43	0.373741	0.812500	0.471915	0.762500
44	0.509798	0.765625	0.472035	0.762500
45	0.394560	0.812500	0.470968	0.762500
46	0.303773	0.906250	0.470145	0.775000
47	0.362761	0.812500	0.468809	0.775000
48	0.457418	0.781250	0.468926	0.775000
49	0.378554	0.859375	0.469322	0.775000
50	0.335544	0.859375	0.469570	0.775000
51	0.285647	0.921875	0.468918	0.775000
52	0.462072	0.765625	0.468947	0.775000
53	0.422248	0.796875	0.468603	0.775000
54	0.400956	0.843750	0.468590	0.775000
55	0.434197	0.812500	0.468293	0.775000
56	0.253118	0.906250	0.468369	0.775000
57	0.420253	0.796875	0.468807	0.775000
58	0.380993	0.859375	0.469383	0.775000
59	0.418648	0.781250	0.469382	0.775000
Best:0.800000
Aver:0.763542
