epoch	train_loss	train_acc	test_loss	test_acc
0	0.526701	0.750000	0.452604	0.825000
1	0.559633	0.750000	0.451545	0.825000
2	0.523806	0.734375	0.456942	0.812500
3	0.582522	0.750000	0.457127	0.812500
4	0.507968	0.781250	0.461391	0.812500
5	0.482778	0.796875	0.465544	0.812500
6	0.503023	0.796875	0.466895	0.812500
7	0.480229	0.765625	0.469548	0.800000
8	0.334143	0.859375	0.472682	0.800000
9	0.535945	0.656250	0.473774	0.800000
10	0.530970	0.718750	0.474835	0.787500
11	0.483064	0.750000	0.476890	0.787500
12	0.442313	0.765625	0.477515	0.787500
13	0.389976	0.890625	0.478225	0.787500
14	0.590453	0.750000	0.478390	0.787500
15	0.413938	0.812500	0.480044	0.787500
16	0.595389	0.671875	0.480351	0.787500
17	0.545025	0.796875	0.481843	0.787500
18	0.449925	0.796875	0.481519	0.787500
19	0.409730	0.796875	0.482084	0.787500
20	0.478578	0.765625	0.481724	0.787500
21	0.505146	0.718750	0.482562	0.787500
22	0.486728	0.796875	0.483816	0.787500
23	0.472685	0.796875	0.484686	0.787500
24	0.522653	0.750000	0.485647	0.787500
25	0.293240	0.921875	0.485797	0.787500
26	0.456475	0.812500	0.488351	0.787500
27	0.469611	0.796875	0.487562	0.787500
28	0.490396	0.781250	0.488104	0.787500
29	0.379656	0.875000	0.489067	0.787500
30	0.511523	0.750000	0.489367	0.787500
31	0.362911	0.843750	0.489691	0.787500
32	0.519332	0.765625	0.491015	0.787500
33	0.455959	0.828125	0.491988	0.787500
34	0.463284	0.796875	0.493186	0.787500
35	0.448367	0.765625	0.494535	0.775000
36	0.468161	0.765625	0.494882	0.775000
37	0.466091	0.781250	0.494381	0.775000
38	0.424467	0.812500	0.494157	0.775000
39	0.459629	0.796875	0.494814	0.787500
40	0.363414	0.843750	0.495617	0.775000
41	0.450115	0.828125	0.496872	0.775000
42	0.456260	0.796875	0.497366	0.775000
43	0.393373	0.859375	0.497104	0.775000
44	0.472374	0.796875	0.497073	0.775000
45	0.438481	0.750000	0.497351	0.775000
46	0.485894	0.734375	0.497424	0.787500
47	0.382850	0.812500	0.497529	0.775000
48	0.362761	0.843750	0.497530	0.775000
49	0.402514	0.843750	0.497366	0.775000
50	0.452463	0.750000	0.497580	0.775000
51	0.333719	0.859375	0.497699	0.775000
52	0.459007	0.812500	0.497482	0.775000
53	0.551880	0.750000	0.497479	0.775000
54	0.386784	0.828125	0.497825	0.775000
55	0.407195	0.859375	0.497815	0.775000
56	0.430261	0.781250	0.497785	0.775000
57	0.402819	0.781250	0.497903	0.775000
58	0.388553	0.843750	0.497975	0.775000
59	0.398826	0.843750	0.497929	0.775000
Best:0.825000
Aver:0.786667
